Effect	F	v1	v2	ncp	Rsq	upper.CL	lower.CL
Model	83.5814719186976	29	6869	2423.8626856422306	0.2608305715511298	0.27976859896568385	0.24653970127960304
household_same	771.8627406146732	1	6869	771.8627406146732	0.10101774718604359	0.11452114733987967	0.0881973937313554
related	349.7511131762612	1	6869	349.7511131762612	0.04845036318510366	0.05867814162203085	0.03911784287221788
average_wealth	49.04582383145663	1	6869	49.04582383145663	0.0070895488524378315	0.011576197156143612	0.0036868272052351008
wealth_difference_abs	27.895534802964573	1	6869	27.895534802964573	0.004044650910282566	0.007584857294422641	0.0016030443901160632
indigenous.both	16.842854183515392	1	6869	16.842854183515392	0.0024460119901345795	0.005329749112660398	6.686222775067914e-4
average_age	14.561192754384711	1	6869	14.561192754384711	0.0021153574939831695	0.004837553461016561	5.011152523809238e-4
age_difference_abs	12.46426133965356	1	6869	12.46426133965356	0.0018112803999692753	0.0043730976637609675	3.588963813193314e-4
gender.mm	11.231924018227119	1	6869	11.231924018227119	0.0016324920645505502	0.004093538333174837	2.8175471099619405e-4
same_usage_antiparasite	7.605363137978709	1	6869	7.605363137978709	0.0011059763846195442	0.003232165374341734	9.339211456349148e-5
indigenous.one	5.603965101072716	1	6869	5.603965101072716	8.15169154400929e-4	0.002720469020483926	2.9148224823702027e-5
average_bristol	2.1174424842631057	1	6869	2.1174424842631057	3.081656662089509e-4	0.0016959916571272562	1.1841822069998827e-6
same_usage_antiacids	1.7186701754607323	1	6869	1.7186701754607323	2.5014416365513073e-4	0.0015560422146355325	7.961203516338804e-7
different_bristol	1.5228372265738543	1	6869	1.5228372265738543	2.2164793897818972e-4	0.0014838237612798772	6.548737991514766e-7
average_education	1.457823733318389	1	6869	1.457823733318389	2.1218727641154873e-4	0.001459236779884989	6.137388131963401e-7
education_difference_abs	1.3785053096746323	1	6869	1.3785053096746323	2.006447401128299e-4	0.0014287807567837868	5.670246523925387e-7
same_usage_antibiotics	1.1958920343581838	1	6869	1.1958920343581838	1.7406956848854333e-4	0.0013565163575692623	4.7251462503733164e-7
same_usage_vitamins	0.5557642523282974	1	6869	0.5557642523282974	8.090250249082677e-5	0.0010686606977413334	2.49237484617573e-7
same_usage_antifungal	0.5203171402406824	1	6869	0.5203171402406824	7.574286357992588e-5	0.0010504130208354025	2.4056005859108143e-7
gender.mf	0.4705291223430929	1	6869	0.4705291223430929	6.849568978399979e-5	0.001024204900183652	2.2887935475993028e-7
same_usage_painkillers	0.406812792351034	1	6869	0.406812792351034	5.922094926645761e-5	9.895956219266666e-4	2.1475394066512673e-7
religion.same	0.39043238634257743	1	6869	0.39043238634257743	5.683654032850568e-5	9.804897822115566e-4	2.1126551175947688e-7
watersource_same	0.22614755932136438	1	6869	0.22614755932136438	3.292183929651465e-5	8.837696722098158e-4	1.7926293706868076e-7
same_usage_zinc	0.12481672193042921	1	6869	0.12481672193042921	1.8170687716516703e-5	8.184652374994561e-4	1.6198922235570277e-7
different_diet	0.07384860932515933	1	6869	0.07384860932515933	1.0750883008793143e-5	7.837625614995163e-4	1.5394009519544702e-7
same_usage_antihypertensives	0.035303653597027154	1	6869	0.035303653597027154	5.139535908084409e-6	7.566548892761703e-4	1.4811949010788869e-7
same_usage_antidiabetics	0.010713004478122798	1	6869	0.010713004478122798	1.5596138841130112e-6	7.389700699078981e-4	1.4452158275973254e-7
average_diet	0.007997376343285888	1	6869	0.007997376343285888	1.1642694762243007e-6	7.369985292340162e-4	1.4412964956512535e-7
same_usage_laxatives	0.0023709771703807492	1	6869	0.0023709771703807492	3.451705272949933e-7	7.329021171891066e-4	1.4332099715445932e-7
same_usage_antidiarrheal	8.876691353819615e-4	1	6869	8.876691353819615e-4	1.2922827495559913e-7	7.318195515459986e-4	1.4310856570132486e-7
