"","Overall","Azpeitia","Basauri","Bermeo","Erandio","Ermua","Getaria","Getxo","Hernani","Hondarribia","Irun","Laguardia","Lekeitio","Mungia","Pasaia","Sestao","Tolosa","Zarautz","Zumaia"
"n"," 1787","  131","   64","  123","  189","   85","   25","  149","   93","  203","   35","   66","   77","   55","   76","  159","  180","   38","   38"
"age_at_survey..mean..SD..","41.02 (16.98)","33.76 (14.81)","36.97 (16.40)","50.02 (17.33)","36.28 (17.15)","40.76 (17.10)","41.76 (17.58)","43.64 (16.18)","39.22 (17.06)","40.44 (16.44)","43.66 (16.28)","41.47 (17.92)","39.82 (16.88)","37.38 (17.40)","40.55 (14.49)","45.88 (17.16)","43.35 (16.56)","38.13 (13.29)","42.00 (16.17)"
"gender...woman...."," 1132 (63.3) ","   83 (63.4) ","   38 (59.4) ","   80 (65.0) ","  108 (57.1) ","   52 (61.2) ","   16 (64.0) ","   96 (64.4) ","   59 (63.4) ","  125 (61.6) ","   24 (68.6) ","   43 (65.2) ","   54 (70.1) ","   29 (52.7) ","   52 (68.4) ","  112 (70.4) ","  116 (64.4) ","   22 (57.9) ","   23 (60.5) "
"marital_name...."," ","   ","   ","   ","  ","   ","   ","   ","   ","  ","   ","   ","   ","   ","   ","  ","  ","   ","   "
"X...Civil.union","  543 (30.4) ","   30 (22.9) ","   21 (32.8) ","   33 (26.8) ","   50 (26.5) ","   35 (41.2) ","   12 (48.0) ","   52 (34.9) ","   42 (45.2) ","   59 (29.1) ","   14 (40.0) ","   15 (22.7) ","   30 (39.0) ","   27 (49.1) ","   21 (27.6) ","   37 (23.3) ","   40 (22.2) ","   16 (42.1) ","    9 (23.7) "
"X...Divorced","    6 ( 0.3) ","    0 ( 0.0) ","    0 ( 0.0) ","    1 ( 0.8) ","    0 ( 0.0) ","    0 ( 0.0) ","    1 ( 4.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    0 ( 0.0) ","    3 ( 1.9) ","    1 ( 0.6) ","    0 ( 0.0) ","    0 ( 0.0) "
"X...Married","  748 (41.9) ","   56 (42.7) ","   28 (43.8) ","   53 (43.1) ","   80 (42.3) ","   22 (25.9) ","    5 (20.0) ","   65 (43.6) ","   26 (28.0) ","   94 (46.3) ","   11 (31.4) ","   34 (51.5) ","   26 (33.8) ","   14 (25.5) ","   35 (46.1) ","   77 (48.4) ","   90 (50.0) ","    9 (23.7) ","   22 (57.9) "
"X...Separated","  116 ( 6.5) ","    7 ( 5.3) ","    1 ( 1.6) ","   10 ( 8.1) ","    5 ( 2.6) ","   10 (11.8) ","    2 ( 8.0) ","    9 ( 6.0) ","    6 ( 6.5) ","   15 ( 7.4) ","    4 (11.4) ","    4 ( 6.1) ","    7 ( 9.1) ","    0 ( 0.0) ","    5 ( 6.6) ","   11 ( 6.9) ","   11 ( 6.1) ","    8 (21.1) ","    1 ( 2.6) "
"X...Single..never.married.","  278 (15.6) ","   30 (22.9) ","   11 (17.2) ","   14 (11.4) ","   44 (23.3) ","   15 (17.6) ","    4 (16.0) ","   17 (11.4) ","   13 (14.0) ","   26 (12.8) ","    3 ( 8.6) ","   11 (16.7) ","   11 (14.3) ","    9 (16.4) ","    8 (10.5) ","   23 (14.5) ","   31 (17.2) ","    4 (10.5) ","    4 (10.5) "
"X...Widowed","   96 ( 5.4) ","    8 ( 6.1) ","    3 ( 4.7) ","   12 ( 9.8) ","   10 ( 5.3) ","    3 ( 3.5) ","    1 ( 4.0) ","    6 ( 4.0) ","    6 ( 6.5) ","    9 ( 4.4) ","    3 ( 8.6) ","    2 ( 3.0) ","    3 ( 3.9) ","    5 ( 9.1) ","    7 ( 9.2) ","    8 ( 5.0) ","    7 ( 3.9) ","    1 ( 2.6) ","    2 ( 5.3) "
"Relationship..n..","8071","644","373","470","1042","329","77","702","455","1053","133","279","435","226","344","473","676","187","167"
"X...Child"," 427"," 31"," 18"," 23","  66"," 20"," 1"," 30"," 27","  54"," 10"," 25"," 14","  7"," 22"," 17"," 39"," 15","  8"
"X...Closest.Friend","1627","105"," 70","126"," 159"," 67","17","181"," 82"," 213"," 31"," 41","132"," 53"," 72","101","113"," 33"," 29"
"X...Father"," 303"," 29"," 12"," 13","  54"," 11"," 1"," 19"," 17","  38","  8"," 14"," 10"," 12","  6"," 17"," 30","  4","  8"
"X...Mother"," 594"," 47"," 28"," 27","  92"," 34"," 4"," 37"," 39","  78","  5"," 27"," 19"," 12"," 25"," 32"," 64"," 15","  8"
"X...Partner"," 410"," 26"," 16"," 28","  50"," 16"," 5"," 37"," 22","  52","  6"," 11"," 15"," 13"," 18"," 32"," 43"," 10"," 10"
"X...Personal.or.Private.Relationship","1902","153"," 88","123"," 225"," 69","19","192","123"," 245"," 27"," 68","112"," 58"," 78","105","135"," 36"," 45"
"X...Sibling","1059","114"," 46"," 24"," 205"," 35"," 7"," 64"," 43"," 141"," 20"," 32"," 36"," 25"," 39"," 64","106"," 35"," 22"
"X...Spend.Free.Time","1749","139"," 95","106"," 191"," 77","23","142","102"," 232"," 26"," 61"," 97"," 46"," 84","105","146"," 39"," 37"
"n.1","1699"," 126","  62"," 120"," 182","  81","  22"," 137","  90"," 200","  34","  63","  70","  52","  70"," 148"," 174","  32","  35"
"DDS..mean..SD..","3.14 (1.26)","2.94 (1.12)","3.27 (1.54)","3.24 (1.30)","2.69 (1.05)","3.73 (1.30)","3.09 (1.51)","3.36 (1.41)","3.11 (1.14)","3.32 (1.28)","2.53 (1.11)","2.95 (1.18)","3.14 (1.17)","3.04 (1.24)","2.77 (1.07)","3.50 (1.21)","3.13 (1.33)","3.09 (1.03)","2.66 (0.87)"
"household_wealth_index_w3..mean..SD..","3.29 (1.33)","2.70 (1.23)","2.63 (0.96)","3.97 (1.06)","2.86 (1.15)","3.45 (1.28)","4.00 (0.94)","3.48 (1.31)","2.25 (1.06)","3.67 (1.14)","3.21 (1.34)","4.12 (0.93)","3.09 (1.36)","3.31 (1.15)","2.24 (1.27)","3.93 (1.45)","3.51 (1.42)","3.27 (1.08)","3.23 (0.91)"
